"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Spy","Plug-in Menu Spy","Shift+Alt+F2","In Dialogs and Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"File","Close All","Shift+Ctrl+W","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"File","Rename","F2","In Windows"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"File","Close All","Shift+Ctrl+F4","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Run/Debug","Display","Shift+Ctrl+V","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"File","Save","Ctrl+S","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Debug Java Application","Shift+Alt+D J","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing Java Source"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"File","Save All","Shift+Ctrl+S","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Source","Format","Shift+Ctrl+F","Editing Ant Buildfiles"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Spy","Plug-in Selection Spy","Shift+Alt+F1","In Dialogs and Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Text Editing","Line Start","Home","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"File","New menu","Shift+Alt+N","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","In Windows"
"Source","Format","Shift+Ctrl+F","Editing Java Source"
"Views","Show View (Cheat Sheets)","Shift+Alt+Q H","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Edit","Find Next","Ctrl+K","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing Java Source"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"File","New","Ctrl+N","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Text Editing","Line End","End","Editing Text"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"File","Close","Ctrl+W","In Windows"
