"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Window","Activate Editor","F12","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2, M","Editing Java Source"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Window","Quick Access","Ctrl+3","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"File","Refresh","F5","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Step Over","F6","Debugging"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Edit","Delete","Delete","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Navigate","Backward History","Alt+Left","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"File","Properties","Alt+Enter","In Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
