"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"File","Properties","⌘I","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Source","Organize Imports","⇧⌘O","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"File","Save All","⇧⌘S","In Windows"
"Edit","Find Previous","⇧⌘K","Editing Text"
"File","New menu","⌥⌘N","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Window","Activate Editor","⌘F12","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"File","Rename","F2","In Windows"
"Navigate","Open Type","⇧⌘T","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"File","Refresh","F5","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Navigate","Open Manifest","⌥⇧⌘M","In Windows"
"Navigate","Next Page","⌥F7","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"File","Save","⌘S","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Spy","Plug-in Selection Spy","⌥⇧F1","In Dialogs and Windows"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Run/Debug","Terminate","⌘F2","Debugging"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Text Editing","Zoom In","⌘+","Editing Text"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Text Editing","Delete Line","⌘D","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Text End","↘","Editing Text"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Edit","Delete","⌦","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Text Editing","Line Start","⌘←","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Navigate","Forward History","⌥⌘→","In Windows"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Project","Build All","⌘B","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Navigate","Previous Page","⌥⇧F7","In Windows"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Previous Word","⌥←","Editing Text"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Window","Quick Access","⌘3","In Windows"
"Uncategorized","Add Artifact to Target Platform","⌥⇧⌘A","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Search","Declaration in Workspace","⌘G","In Windows"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Window","Close Dialog","⌘W","In Dialogs"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"File","New","⌘N","In Windows"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Text Editing","Zoom In","⌘=","Editing Text"
"Run/Debug","Debug","⌘F11","In Windows"
"Window","Next View","⌘F7","In Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Search","Open Search Dialog","⌃H","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Navigate","Backward History","⌥⌘←","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"File","Close","⌘W","In Windows"
"Navigate","Next","⌘.","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Run/Debug","Step Over","F6","Debugging"
"Window","Show Contributing Plug-in","⌥⇧F3","In Dialogs and Windows"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Text Editing","Next Word","⌥→","Editing Text"
"Text Editing","Text Start","↖","Editing Text"
"Navigate","Backward History","⌘[","In Windows"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Navigate","Go to Line","⌘L","Editing Text"
"Spy","Layout Spy","⌥⇧⌘F9","In Dialogs and Windows"
"File","Print","⌘P","In Windows"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Spy","Plug-in Menu Spy","⌥⇧F2","In Dialogs and Windows"
